CODIGOAPOYO;PINTADOAPOYO;X;Y;CODIGOGEOGRAFICO
18603;1249142;1105302;1280477;67
18755;1203657;1105801;1280286;67
18757;1311930;1105377;1280586;67
18758;1311948;1105346;1280576;67
18759;1311956;1105365;1280565;67
18766;1228285;1105352;1280271;67
18768;1228293;1105362;1280274;67
18769;1228307;1105375;1280276;67
18774;1228323;1105357;1280276;67
18778;1228331;1105351;1280325;67
18781;1228340;1105351;1280324;67
18635;1249207;1105403;1280485;67
18636;1249215;1105397;1280488;67
18639;1249240;1105405;1280515;67
18640;1203151;1105551;1280296;67
18641;1249258;1105393;1280507;67
22560;1162004;1105582;1280109;67
22562;1162012;1105593;1280081;67
22563;1162021;1105595;1280063;67
22564;1162039;1105574;1280114;67
22572;1162047;1105571;1280135;67
22574;1162055;1105541;1280118;67
22575;1162071;1105529;1280121;67
17682;1202839;1105437;1280369;67
17684;1202847;1105453;1280388;67
17685;1202855;1105437;1280381;67
17697;1227939;1105203;1280239;67
17698;1227947;1105196;1280237;67
17700;1227955;1105285;1280269;67
17701;1227971;1105287;1280271;67
18604;1249151;1105303;1280504;67
18605;1249177;1105313;1280504;67
